column1,column2,column3,column4,target
398.0,542.0,605.0,110.0,0
329.0,50.0,179.0,545.0,1
687.0,127.0,930.0,217.0,0
151.0,356.0,595.0,500.0,0
501.0,907.0,685.0,686.0,0
994.0,394.0,544.0,636.0,0
696.0,13.0,401.0,324.0,0
603.0,253.0,647.0,675.0,0
628.0,390.0,745.0,803.0,0
7.0,936.0,585.0,617.0,0
247.0,93.0,524.0,563.0,0
673.0,240.0,194.0,193.0,0
247.0,18.0,248.0,557.0,1
385.0,717.0,465.0,461.0,0
710.0,603.0,4.0,860.0,0
639.0,388.0,544.0,493.0,0
179.0,332.0,257.0,6.0,0
63.0,662.0,91.0,531.0,0
998.0,487.0,525.0,603.0,1
684.0,374.0,912.0,427.0,0
964.0,243.0,657.0,799.0,0
286.0,51.0,313.0,182.0,1
116.0,21.0,39.0,408.0,0
126.0,50.0,132.0,19.0,0
720.0,802.0,160.0,292.0,1
123.0,171.0,937.0,97.0,0
137.0,622.0,343.0,599.0,0
89.0,283.0,941.0,388.0,1
367.0,980.0,635.0,83.0,0
783.0,787.0,577.0,451.0,1
182.0,588.0,350.0,684.0,0
355.0,642.0,577.0,457.0,0
829.0,360.0,765.0,397.0,0
424.0,288.0,9.0,431.0,1
341.0,329.0,399.0,126.0,1
541.0,801.0,386.0,904.0,1
557.0,703.0,889.0,172.0,0
266.0,553.0,498.0,950.0,1
547.0,99.0,1.0,159.0,0
855.0,182.0,768.0,436.0,1
583.0,954.0,511.0,734.0,1
986.0,951.0,539.0,592.0,1
570.0,796.0,843.0,173.0,0
520.0,287.0,570.0,799.0,0
66.0,522.0,479.0,810.0,0
95.0,576.0,968.0,346.0,0
737.0,725.0,429.0,376.0,0
162.0,839.0,437.0,285.0,1
849.0,99.0,505.0,727.0,0
679.0,465.0,68.0,466.0,0
210.0,372.0,463.0,625.0,0
665.0,217.0,378.0,913.0,0
177.0,131.0,579.0,345.0,0
381.0,388.0,900.0,991.0,0
435.0,243.0,322.0,393.0,0
49.0,881.0,755.0,699.0,0
825.0,978.0,991.0,406.0,1
237.0,7.0,988.0,765.0,0
883.0,366.0,543.0,944.0,0
601.0,178.0,937.0,519.0,0
800.0,330.0,780.0,424.0,0
90.0,680.0,145.0,730.0,1
185.0,850.0,64.0,389.0,1
324.0,803.0,168.0,707.0,0
443.0,66.0,623.0,895.0,0
57.0,66.0,476.0,607.0,1
774.0,102.0,866.0,316.0,0
338.0,425.0,703.0,394.0,1
821.0,408.0,979.0,852.0,0
495.0,387.0,714.0,499.0,0
110.0,790.0,525.0,242.0,0
949.0,275.0,351.0,370.0,0
4.0,571.0,89.0,705.0,0
458.0,780.0,604.0,433.0,0
