encoder,encoder__max_iter,encoder__random_state,mean_n_iter,std_n_iter,mean_fit_time,std_fit_time
SpectralTargetEncoder,,,12.033333333333333,4.576388678131845,0.17930738925933837,0.011002187769438267
MLE-HBBMEncoder,,,18.7,7.433333333333333,60.072435116767885,0.4272235070198677
MLE-HBBMEncoder,1,,1.0,0.0,11.820385408401489,0.12893884622273633
MLE-HBBMEncoder,5,,5.0,0.0,27.48900170326233,0.34336509928299874
MLE-HBBMEncoder,10,,10.0,0.0,39.614740538597104,0.41867457735489416
MLE-HBBMEncoder,50,,18.7,7.433333333333333,59.39732639789581,0.4030788723570261
JamesSteinEncoder,,20210902,,,0.17554860115051268,0.01504592805123098
GLMMEncoder,,20210902,,,13832.402408623695,724.3158258949508
TargetEncoder,,,,,0.16538567543029786,0.014120820667234147
TargetRegressorEncoder,,,,,1.7857758283615113,0.09772524806813516
