encoder,encoder__max_iter,encoder__random_state,mean_n_iter,std_n_iter,mean_fit_time,std_fit_time
SpectralTargetEncoder,,,43.242105263157896,39.48689743765744,0.12083444595336915,0.0022304042712175225
MLE-HBBMEncoder,,,24.852631578947367,8.686309156310452,79.35472164154052,13.291824286487298
MLE-HBBMEncoder,1,,1.0,0.0,10.214585661888123,0.2176035565689578
MLE-HBBMEncoder,5,,5.0,0.0,20.60663423538208,0.3514358229706545
MLE-HBBMEncoder,10,,10.0,0.0,28.94549162387848,0.30716465451231245
MLE-HBBMEncoder,50,,24.810526315789474,8.5437508548857,80.10117959976196,13.335891246928547
JamesSteinEncoder,,20210902,,,0.21727588176727294,0.013043018328283187
GLMMEncoder,,20210902,,,566.923189330101,29.656049997780524
TargetEncoder,,,,,0.22854418754577638,0.0011402053751391379
TargetRegressorEncoder,,,,,0.45088341236114504,0.011678821728493733
