encoder,encoder__max_iter,encoder__random_state,mean_n_iter,std_n_iter,mean_fit_time,std_fit_time
SpectralTargetEncoder,,,18.16923076923077,10.858628941316997,0.049880695343017575,0.0005350506418719943
MLE-HBBMEncoder,,,24.523076923076925,6.599784827046531,11.634033894538879,1.1773120087875903
MLE-HBBMEncoder,1,,1.0,0.0,0.5897434711456299,0.014948981540076834
MLE-HBBMEncoder,5,,5.0,0.0,2.141745591163635,0.040950077440751895
MLE-HBBMEncoder,10,,10.0,0.0,3.0650329113006594,0.06443106481301424
MLE-HBBMEncoder,50,,24.46153846153846,6.318658385051549,11.471320152282715,0.8967393479506911
JamesSteinEncoder,,20210902,,,0.1363609552383423,0.005758508329799123
GLMMEncoder,,20210902,,,18.56386194229126,0.707115741525662
TargetEncoder,,,,,0.14602999687194823,0.01679465741334532
TargetRegressorEncoder,,,,,0.08666067123413086,0.004648316939599977
