encoder,encoder__max_iter,encoder__random_state,mean_n_iter,std_n_iter,mean_fit_time,std_fit_time
SpectralTargetEncoder,,,37.0,7.42630459919333,0.04483592510223389,0.00018028160026382426
MLE-HBBMEncoder,,,26.35,5.1310330343898585,32.23406074047089,3.887723708300879
MLE-HBBMEncoder,1,,1.0,0.0,2.014847755432129,0.00905972666876631
MLE-HBBMEncoder,5,,5.0,0.0,7.848148512840271,0.07722500318588495
MLE-HBBMEncoder,10,,10.0,0.0,11.059833884239197,0.04269033567870223
MLE-HBBMEncoder,50,,26.35,5.1310330343898585,32.705689668655396,4.10210762674761
JamesSteinEncoder,,20210902,,,0.0569364070892334,0.0011152673957012826
GLMMEncoder,,20210902,,,125.42146589756013,5.934495206236118
TargetEncoder,,,,,0.05676655769348145,0.0032166752859620028
TargetRegressorEncoder,,,,,0.1852177381515503,0.004937284283525354
