cv_grid,cv_scoring,encoder,encoder__max_iter,encoder__random_state,classifier,classifier__random_state,mean_roc_auc,std_roc_auc,mean_fit_time,std_fit_time
,,drop,,,LogisticRegression,20210902,0.6542517428172353,0.02130142729378418,0.030798673629760742,0.0021169400077117807
,,drop,,,RandomForestClassifier,20210902,0.7229763544863278,0.01278532035445333,0.6495730876922607,0.018719517024955636
,,drop,,,GradientBoostingClassifier,20210902,0.7278321654412385,0.019119304470316904,0.5928569555282592,0.0024317013131909845
,,drop,,,MLPClassifier,20210902,0.5936462551830484,0.031421931344312946,1.041552186012268,0.39093308616066336
,,SpectralTargetEncoder,,,LogisticRegression,20210902,0.8564506074363841,0.01056414767548647,0.11587288379669189,0.009990072004928456
,,SpectralTargetEncoder,,,RandomForestClassifier,20210902,0.9014649005023039,0.014933148870070276,0.671257209777832,0.02061286878902527
,,SpectralTargetEncoder,,,GradientBoostingClassifier,20210902,0.9004963735010122,0.012773624000700846,1.0032105445861816,0.0032711270389834375
,,SpectralTargetEncoder,,,MLPClassifier,20210902,0.9144873561551465,0.01549176593581953,5.169908952713013,0.0769003926003189
STEGrid,roc_auc,SpectralTargetEncoder,,,LogisticRegression,20210902,0.8565758098410118,0.010460032696001811,10.008982586860657,0.09985886518688634
STEGrid,roc_auc,SpectralTargetEncoder,,,RandomForestClassifier,20210902,0.9014830571928328,0.016818270251336285,36.95636250972748,0.6193674048526093
STEGrid,roc_auc,SpectralTargetEncoder,,,GradientBoostingClassifier,20210902,0.9003409507602061,0.013084632581963804,50.60363073348999,0.04803734519587975
STEGrid,roc_auc,SpectralTargetEncoder,,,MLPClassifier,20210902,0.9144103576686027,0.014905085644773922,256.0911791086197,1.1213140187026176
,,MLE-HBBMEncoder,,,LogisticRegression,20210902,0.8565252718073874,0.010104221283028849,11.696911001205445,1.1793693759595407
,,MLE-HBBMEncoder,,,RandomForestClassifier,20210902,0.9001648274404305,0.018292641787511783,12.283908104896545,1.157817842884817
,,MLE-HBBMEncoder,,,GradientBoostingClassifier,20210902,0.9002231223810677,0.013952184541572717,12.597238087654114,1.176327697027952
,,MLE-HBBMEncoder,,,MLPClassifier,20210902,0.9145777623148206,0.014742849050169602,16.855848646163942,1.130007243079912
,,MLE-HBBMEncoder,1,,LogisticRegression,20210902,0.815711154304066,0.011098563811222924,0.6699832201004028,0.01219663592649154
,,MLE-HBBMEncoder,1,,RandomForestClassifier,20210902,0.9035004304258727,0.01553874677879471,1.2957224130630494,0.024555406630094753
,,MLE-HBBMEncoder,1,,GradientBoostingClassifier,20210902,0.8950435888748325,0.0159490163571512,1.5466896295547485,0.016067484079635302
,,MLE-HBBMEncoder,1,,MLPClassifier,20210902,0.8941758716400265,0.016394031040171224,5.7764967918396,0.1316314095481818
,,MLE-HBBMEncoder,5,,LogisticRegression,20210902,0.8218666063701671,0.011670849122694648,2.2218084812164305,0.03996895701861678
,,MLE-HBBMEncoder,5,,RandomForestClassifier,20210902,0.9031106559629587,0.015187095010121167,2.8411933898925783,0.039949201593127315
,,MLE-HBBMEncoder,5,,GradientBoostingClassifier,20210902,0.8986176299358345,0.015508623294141986,3.095933198928833,0.040939388350945134
,,MLE-HBBMEncoder,5,,MLPClassifier,20210902,0.8974469532882475,0.016664854618603783,7.38533833026886,0.13724553974239417
,,MLE-HBBMEncoder,10,,LogisticRegression,20210902,0.8372092879296671,0.01116077983463868,3.1420774459838867,0.06391817403132423
,,MLE-HBBMEncoder,10,,RandomForestClassifier,20210902,0.9020949749231202,0.016539370948727098,3.7540106534957887,0.07270783319574489
,,MLE-HBBMEncoder,10,,GradientBoostingClassifier,20210902,0.8986539825832105,0.015722356728519675,4.02443482875824,0.06432415275356312
,,MLE-HBBMEncoder,10,,MLPClassifier,20210902,0.9012161169018217,0.01715605347101308,8.277116513252258,0.10894050435502614
,,MLE-HBBMEncoder,50,,LogisticRegression,20210902,0.8565261023721714,0.01010410030885474,11.534304022789001,0.8968148017275436
,,MLE-HBBMEncoder,50,,RandomForestClassifier,20210902,0.9001648274404305,0.01829264178751177,12.132073640823364,0.8942379193508974
,,MLE-HBBMEncoder,50,,GradientBoostingClassifier,20210902,0.9002305974641243,0.013954641481449934,12.431748962402343,0.8977572406164831
,,MLE-HBBMEncoder,50,,MLPClassifier,20210902,0.9145553370656512,0.014734196399275786,16.651482820510864,0.9011619329198497
,,JamesSteinEncoder,,20210902,LogisticRegression,20210902,0.814346386211119,0.011440306393666175,0.20752041339874266,0.009539555333512329
,,JamesSteinEncoder,,20210902,RandomForestClassifier,20210902,0.9027684110056573,0.015487354052314332,0.813522744178772,0.03572786080228164
,,JamesSteinEncoder,,20210902,GradientBoostingClassifier,20210902,0.893242770057309,0.016141143478674687,1.0900265216827392,0.006266316825883118
,,JamesSteinEncoder,,20210902,MLPClassifier,20210902,0.8746793842267099,0.0169538990892961,5.301559042930603,0.06465505403806322
,,GLMMEncoder,,20210902,LogisticRegression,20210902,0.8356452180398218,0.013202065442712655,18.637600827217103,0.7079291704425783
,,GLMMEncoder,,20210902,RandomForestClassifier,20210902,0.9017975845580265,0.017282668878641,19.22142539024353,0.7095181167629021
,,GLMMEncoder,,20210902,GradientBoostingClassifier,20210902,0.900222937346839,0.012599101478294312,19.537492990493774,0.7069999866138453
,,GLMMEncoder,,20210902,MLPClassifier,20210902,0.9040681112934454,0.017078894182420052,23.852472925186156,0.7479246522893301
,,TargetEncoder,,,LogisticRegression,20210902,0.817797012258262,0.012097245713662339,0.2292711019515991,0.015012138624232549
,,TargetEncoder,,,RandomForestClassifier,20210902,0.9045535499605479,0.015661486721506197,0.8252809047698975,0.03633280015298838
,,TargetEncoder,,,GradientBoostingClassifier,20210902,0.895963264403598,0.014472329816121541,1.0911518573760985,0.01764946588667571
,,TargetEncoder,,,MLPClassifier,20210902,0.8968241416055289,0.017294905685509038,5.253324794769287,0.01836077910630728
SmoothingGrid,roc_auc,TargetEncoder,,,LogisticRegression,20210902,0.8365852915840252,0.010030540634308568,17.77194426059723,0.16077298621823938
SmoothingGrid,roc_auc,TargetEncoder,,,RandomForestClassifier,20210902,0.9008947877204225,0.016114404004866738,42.82554969787598,0.7618741078932891
SmoothingGrid,roc_auc,TargetEncoder,,,GradientBoostingClassifier,20210902,0.8961249865371125,0.014035592123493718,57.0991233587265,0.27805670452193
SmoothingGrid,roc_auc,TargetEncoder,,,MLPClassifier,20210902,0.9011624798200446,0.017240670790323796,265.67742266654966,2.532566258044742
,,TargetRegressorEncoder,,,LogisticRegression,20210902,0.8115823434708117,0.010966816048055956,0.16371450424194336,0.008683651719506542
,,TargetRegressorEncoder,,,RandomForestClassifier,20210902,0.9026553527248937,0.017326250644150283,0.7459605932235718,0.026443475597326207
,,TargetRegressorEncoder,,,GradientBoostingClassifier,20210902,0.8945919347295705,0.015742992527793275,1.0337339401245118,0.005148911247775114
,,TargetRegressorEncoder,,,MLPClassifier,20210902,0.8895673697297776,0.016715068722335163,5.213776636123657,0.10918248954093797
